# Additional velocity distribution: a fast sample analysis for dark matter or modified gravity models
# by A. Hernandez-Arboleda, D. C. Rodrigues, A. Wojnar
# 
# Table 3 data: Burkert profile results for 153 SPARC galaxies with Gaussian priors on YD and YB.
# First column: galaxy name.
# Second column: best-fit core radius (rc).
# Third column: best-fit of the logarithm of the central halo density (logRhoc).
# Fourth column: best-fit of the stellar disk mass-to-light ratio (YD).
# Fifth column: best-fit of the stellar bulge mass-to-light ratio (YB).
# Sixth column: Minimum chi-squared value (Chi2).
# Seventh column: the number of galaxy data points that were used for the fit (DataPoints).
# 
# Galaxy     	rc                	logRhoc           	YD                 	YB                 	Chi2               	DataPoints
CamB       	999.9999919506986 	6.5065349257630665	0.3004241289324807 	--                 	21.745112077350193 	9         
D512-2     	1.5043357792356515	7.645106345991406 	0.5004624055987632 	--                 	0.12163217749588073	4         
D564-8     	2.1530387070123727	7.120249664998295 	0.496848837093316  	--                 	0.2727179396457756 	6         
D631-7     	6.999549846623706 	7.016647927528124 	0.38834534900591705	--                 	12.47578467014495  	16        
DDO064     	1.907931138737565 	7.757219409295384 	0.49781518394568447	--                 	4.088903295032911  	14        
DDO154     	2.6183297443321547	7.441371481047362 	0.43222030160146546	--                 	11.82285746351262  	12        
DDO161     	7.388436668393296 	6.801860695944521 	0.5122924892548856 	--                 	7.672329897913076  	31        
DDO168     	3.7708562262472705	7.435588359002495 	0.4410617028677668 	--                 	34.423620189836875 	10        
DDO170     	4.154927015504983 	7.161356569575413 	0.4962113789009516 	--                 	10.111788935795168 	8         
ESO079-G014	7.8397660772341204	7.544085730031442 	0.434910949198966  	--                 	12.750851813616151 	15        
ESO116-G012	3.7509153021695414	7.795407509095042 	0.5416389019029696 	--                 	9.98700659829483   	15        
ESO444-G084	1.5496153530747028	8.119636132596064 	0.5350553790299332 	--                 	8.10713867806098   	7         
ESO563-G021	7.982204180821305 	8.089942478567574 	0.22954546037301696	--                 	232.70951380288741 	30        
F565-V2    	5.33662079204042  	7.324462964298182 	0.49909629382333354	--                 	0.28690005985985084	7         
F568-3     	6.6848097616718745	7.315968679376031 	0.46852574793008767	--                 	16.650971457035222 	18        
F568-V1    	2.9928110937782755	8.057407478304267 	0.49928024411590866	--                 	0.6970121935731795 	15        
F571-8     	6.901526053951622 	7.600999245351471 	0.21028869038753106	--                 	23.084308056754143 	13        
F571-V1    	5.438753109120785 	7.246612516451935 	0.49911313366568066	--                 	0.1568650158122159 	7         
F574-1     	3.533578539737557 	7.735365085943924 	0.4871236981176174 	--                 	1.1174772274839742 	14        
F583-1     	4.580901094128528 	7.413788218902211 	0.4882065654022336 	--                 	4.469694440435724  	25        
