# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# Arctan_1/2 individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: rt value [kpc].
# 3rd column: normalized scale radius (rtn = rt / rmax).
# 4th column: Vc value [km/s].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rt                 	rtn                  	Vc                	YD                 	YB                 	Chi2                	Chi2eff            	N.Data
CamB       	499.99999999963063 	279.3296089383411    	189.12689263294024	0.35526593968434317	--                 	36.5306606236668    	38.733404347935924 	9     
D512-2     	2.6143219613112048 	0.68259059042068     	44.37890372101034 	0.5030508915193849 	--                 	0.4967646901548199  	0.4974626635797985 	4     
D564-8     	500.               	162.86644951140067   	374.5013749795523 	0.4833047797380007 	--                 	3.573147488025055   	3.5949005348409555 	6     
D631-7     	500.               	69.54102920723227    	579.2623974625275 	0.2994040686284369 	--                 	70.16433824160828   	75.12441539372693  	16    
DDO064     	499.9999999972257  	167.7852348983979    	730.2438064112941 	0.4982908351460171 	--                 	6.59180908399221    	6.592030232086837  	14    
DDO154     	4.499051112961467  	0.7599748501624101   	62.440314004376404	0.28300252755349303	--                 	77.03783361295123   	83.14761352886404  	12    
DDO161     	13.775057239876862 	1.0302959790483817   	86.85307927278058 	0.3468406006257171 	--                 	21.956349726277626  	24.479366659790948 	31    
DDO168     	500.               	121.35922330097088   	697.4710044898541 	0.40759603017087404	--                 	83.36997674031555   	84.15745654465873  	10    
DDO170     	5.155111535729276  	0.41809501506320157  	63.615447250769215	0.49011954196643487	--                 	11.284389377332161  	11.291902774351275 	8     
ESO079-G014	16.67320622351492  	1.0001923349439064   	212.73280801550308	0.5369849667383865 	--                 	43.473122295189555  	43.569173465001555 	15    
ESO116-G012	6.3036726572339346 	0.6393177137154092   	131.89023881390918	0.44158336287171457	--                 	23.431689927280985  	23.72282896923425  	15    
ESO444-G084	3.2741386750092416 	0.7374186204975769   	84.36397595040278 	0.49345805377799257	--                 	2.0931074276787496  	2.096378996333909  	7     
ESO563-G021	423.7672601029375  	9.992154211340193    	999.9999999991691 	0.9477866057396972 	--                 	474.8120402795755   	482.5260222885215  	30    
F565-V2    	22.784114193983406 	2.589103885679932    	162.4115793477734 	0.499078455688121  	--                 	1.8395693035040532  	1.8396334927269866 	7     
F568-3     	499.99999999982145 	27.808676306997853   	729.6940702202389 	0.5453660547388629 	--                 	50.692501868861264  	50.83476736269334  	18    
F568-V1    	3.32321376775121   	0.18849766124510553  	124.14430811478218	0.505524386061442  	--                 	2.6177106870971953  	2.619987986749159  	15    
F571-8     	14.45111902857889  	0.9293324134134334   	209.46471018516252	0.152374718143019  	--                 	40.421093013554135  	67.0525849294628   	13    
F571-V1    	8.617225889418645  	0.6340857902441975   	98.33244050302699 	0.49933816711656154	--                 	1.269557118832904   	1.2695902091154063 	7     
F574-1     	5.511263967098005  	0.4374019021506353   	108.00106325610558	0.5082012031604812 	--                 	15.54353505798151   	15.548527447821149 	14    
F583-1     	8.450899808312228  	0.5197355355665576   	102.38693500426263	0.4974136691467327 	--                 	30.066928891032056  	30.067436171441344 	25    
F583-4     	7.032686420919069  	0.9647032127461      	84.94405070224467 	0.506641448314719  	--                 	1.5817510915195367  	1.5850351977336832 	12    
IC2574     	500.               	48.87585532746823    	455.5483544145152 	0.2865911502190992 	--                 	1044.5691823900625  	1050.4114208378076 	34    
IC4202     	4.515446297579377  	0.17434155589109562  	227.23281038418256	0.46534280415315504	0.10533738446933251	496.71677016305     	553.9025044851089  	32    
KK98-251   	500.               	159.7444089456869    	422.03254044399034	0.5147177551742069 	--                 	23.469540731952257  	23.485414577798906 	15    
NGC0024    	1.631404021394368  	0.14475634617518793  	104.99058921045618	0.6108062029493285 	--                 	18.235736440660844  	18.991478643747925 	29    
NGC0055    	14.855134837855443 	1.1003803583596623   	118.1416472193809 	0.30648479058468125	--                 	40.452383583295756  	44.97060472726089  	21    
NGC0100    	17.43262522526717  	1.8121232042897266   	152.06730603137459	0.4735083588225827 	--                 	13.941153500412884  	13.997049592321444 	21    
NGC0247    	6.558569214395841  	0.4510707850341019   	104.0755916272702 	0.5401341892759806 	--                 	41.85383194812437   	41.9662691950154   	26    
NGC0289    	5.847854824654367  	0.0822251803241615   	154.81790056899328	0.5113768824008762 	--                 	50.0827736982617    	50.09232111204664  	28    
NGC0300    	6.393239119344671  	0.5417999253681924   	110.04665964808898	0.4888657365120294 	--                 	12.788017203051037  	12.797582834696515 	25    
NGC0801    	84.39422379559514  	1.4108028050082773   	261.9708101856657 	0.6355750988009331 	--                 	54.26457732954222   	55.35027608689223  	13    
NGC0891    	4.494294931876081  	0.2626706564509691   	203.97351907813564	0.23806613962749115	0.5131342768811076 	52.28215528714566   	63.12941932058806  	18    
NGC1003    	16.016681493091774 	0.5296521657768445   	126.96862534760041	0.7243469299911697 	--                 	79.10159166313022   	81.69293886402306  	36    
NGC1090    	6.995855605220539  	0.2324976937594064   	146.2217251752512 	0.4740882022993076 	--                 	47.829773694056925  	47.883184862019235 	24    
NGC2403    	2.961891191622501  	0.14192099624448973  	126.98709088849678	0.3411314065465961 	--                 	605.7200536217779   	608.4772573953187  	73    
NGC2683    	3.182767234635163  	0.0919343510870931   	140.07394799025576	0.58483411678864   	0.5838988136218378 	9.47896307643028    	9.956172375832043  	11    
NGC2841    	2.218177425931956  	0.034855082117095475 	254.78523444539977	0.5923624434747398 	0.5793902359593844 	69.65917139509335   	70.22416867377497  	50    
NGC2903    	2.262420341740122  	0.09064184061458821  	175.97155786669933	0.3064339271339826 	--                 	228.5944189693244   	233.11570493073373 	34    
NGC2915    	2.129440602051721  	0.21209567749519137  	88.74896567327656 	0.40436579364014646	--                 	23.09053085707567   	23.94053361180738  	30    
NGC2955    	12.9333712434021   	0.3650401141236833   	233.98922171373476	0.30409996922990457	0.7376693429854143 	76.22608748245577   	81.69448153549797  	24    
NGC2976    	500.               	220.26431718061673   	10.               	0.9239632766698566 	--                 	20.222825350093384  	27.334898591542395 	27    
NGC2998    	1.661933544603698  	0.03930779433783581  	184.07335692438255	0.34492571623618284	--                 	9.556877659295601   	12.156854265691024 	13    
