# Additional velocity distribution: a fast sample analysis for dark matter or modified gravity models
# by A. Hernandez-Arboleda, D. C. Rodrigues, A. Wojnar
# 
# This file: Best fit results of an exponential model for the gaseous component of 122 SPARC galaxies.
# 1st column: galaxy name.
# 2nd column: reference luminosity value from SPARC L (10^9 Msun), not fitted.
# 3rd column: reference HI mass value from SPARC MassHI (10^9 Msun), not fitted.
# 4th column: best-fit disk scale length hGas (kpc).
# 5th column: best-fit central surface density logSigma0Gas (log_10 Msun/kpc^3).
# 6th column: normalized disk scale length hGasn.
# 7th column: the minimum chi-squared value Chi2.
# 8th column: the number of galaxy data points that were used for the fit dataPoints.
# 
# Name       	L      	MassHI	hGas              	logSigma0Gas      	hGasn              	Chi2                 	dataPoints
CamB       	0.075  	0.012 	0.7721268129345293	6.907692074947797 	0.4313557614159382 	1.0515855515087371   	9         
D512-2     	0.325  	0.081 	2.655423860971871 	6.415832739485048 	0.6933221569117156 	0.0004480532250671316	4         
D564-8     	0.033  	0.029 	1.3393393117022165	6.553965646752247 	0.4362668767759663 	0.0021489588885292886	6         
D631-7     	0.196  	0.29  	1.5012738804631165	7.433126077833704 	0.208800261538681  	0.06191845372135958  	16        
DDO064     	0.157  	0.211 	298.              	8.443377768597646 	100.               	39.69127517022908    	14        
DDO154     	0.053  	0.275 	2.461530923676012 	7.056415823168078 	0.41579914251283984	2.997666996137456    	12        
DDO161     	0.548  	1.378 	4.272322696829403 	7.342764437314823 	0.319545452268467  	4.2997833917603545   	31        
DDO168     	0.191  	0.413 	1.232237926716808 	7.6207720818649785	0.299086875416701  	1.8343272263072399   	10        
DDO170     	0.543  	0.735 	6.974068743364038 	7.026766097849587 	0.5656179029492325 	4.4106119563431525   	8         
ESO079-G014	51.733 	3.14  	1667.0000000000002	8.073410276119672 	100.               	28.901214574740735   	15        
ESO116-G012	4.292  	1.083 	696.1212248167598 	8.262513992766014 	70.60052990027991  	43.40901896973725    	15        
ESO444-G084	0.071  	0.135 	1.1305783965239775	7.44943818426168  	0.2546347739918868 	3.268269205046498    	7         
ESO563-G021	311.177	24.298	4241.             	7.834579111143274 	100.00000000000001 	457.4949757550605    	30        
F565-V2    	0.559  	0.699 	25.556890601535567	7.104935280802967 	2.90419211381086   	0.034804749497439356 	7         
F568-3     	8.346  	3.195 	1798.             	8.075013389771684 	100.               	65.32863457498406    	18        
F568-V1    	3.825  	2.491 	1763.             	8.053851927847269 	100.               	56.040432071254855   	15        
F571-8     	10.164 	1.782 	6.596883475671977 	6.29444189234376  	0.42423687946443583	0.14529460933087918  	13        
F571-V1    	1.849  	1.217 	12.490262709219486	6.997757090990055 	0.9190774620470556 	2.6050164845049326   	7         
F574-1     	6.537  	3.524 	1260.             	7.873560259724722 	100.               	25.311717524169026   	14        
F583-1     	0.986  	2.126 	1626.0000000000002	7.8856895685045005	100.               	273.47803904325264   	25        
F583-4     	1.715  	0.641 	728.9999946847893 	7.664522970249342 	99.99999927089016  	0.1703010631958029   	12        
IC2574     	1.016  	1.036 	1023.             	7.971962719277355 	100.               	19.469756807198607   	34        
KK98-251   	0.085  	0.115 	3.8045343021905706	7.206518165937256 	1.215506166834048  	6.267571266681945    	15        
NGC0024    	3.889  	0.676 	4.1632133420828055	7.103845894766424 	0.36940668518924624	12.426739241465935   	29        
NGC0055    	4.628  	1.565 	4.626135039520407 	7.4755293575687185	0.3426766695941042 	6.589334860518983    	21        
NGC0100    	3.232  	1.99  	961.9999999999999 	7.880644786382645 	100.               	70.198012454298      	21        
NGC0247    	7.332  	1.746 	1454.             	8.216337619289838 	100.00000000000001 	23.61103584635252    	26        
NGC0289    	72.065 	27.469	60.07610435670438 	6.966953900788018 	0.8447146281876318 	136.28609588001962   	28        
NGC0300    	2.922  	0.936 	97.6778074790997  	7.221498158008344 	8.277780294838957  	80.19982250215912    	25        
NGC0801    	312.57 	23.201	59.487994219980514	7.027098463514981 	0.9944499200932886 	9.707534046031537    	13        
NGC1003    	6.82   	5.88  	9.010825078313907 	6.9917097392261915	0.29797701978551283	49.6965417095761     	36        
NGC1090    	72.045 	8.783 	3009.             	8.037172998071451 	100.               	461.5869050220398    	24        
NGC2403    	10.041 	3.199 	18.551044299832434	7.193600486613919 	0.8888856875818127 	172.25191421541314   	73        
