# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# MOND_dist individual fits for 153 SPARC galaxies with Gaussian priors on YD, YB and on the distance.
# 1st column: galaxy name.
# 2nd column: stellar disk mass-to-light ratio (YD).
# 3rd column: stellar bulge mass-to-light ratio (YB).
# 4th column: multiplicative factor that changes the galaxy distance.
# 4th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 5th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 6th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	YD                 	YB                 	deltaD             	Chi2              	Chi2eff           	N.Data
CamB       	0.2992574404279124 	--                 	0.2753978971711052 	37.68166630005856 	130.33738140420954	9     
D512-2     	0.47809734337332543	--                 	0.7571465999178054 	0.3744790645892877	1.067632206502371 	4     
D564-8     	0.22658123335418112	--                 	0.9000946270901905 	36.191627821107375	57.84423614212983 	6     
D631-7     	0.1565391455943399 	--                 	0.8617846214293423 	184.9525470596521 	245.52918726875902	16    
DDO064     	0.49132543252206967	--                 	0.9124823618693502 	3.732616177035602 	3.8234970753366264	14    
DDO154     	0.20047068138521523	--                 	0.9105406220418923 	30.782413074888908	49.80242935533582 	12    
DDO161     	0.24176269561009164	--                 	0.6123312559494289 	39.4384836285618  	51.06745856508784 	31    
DDO168     	0.3568659779044276 	--                 	0.8079017091996232 	126.52980376586869	143.7892377721839 	10    
DDO170     	0.8138616523481553 	--                 	0.5925226753129866 	24.1834993464297  	30.504997704831652	8     
ESO079-G014	0.5406047655652997 	--                 	1.0602710501910337 	45.268264523052494	45.441455102900456	15    
ESO116-G012	0.36092859974761105	--                 	1.369103466281143  	28.371485219180116	31.88883742680337 	15    
ESO444-G084	0.5694831098844713 	--                 	1.438759900232834  	19.515416412513346	39.327178768709814	7     
ESO563-G021	0.6492698660005884 	--                 	1.1889740598011578 	481.68255083316467	484.5639084847705 	30    
F565-V2    	0.5185235049619448 	--                 	1.1700551928386302 	1.7719148588158211	2.5142925494259356	7     
F568-3     	0.44407470151537093	--                 	0.9703203513261135 	45.928004112782816	46.2814611961071  	18    
F568-V1    	1.21564261225777   	--                 	1.2034084345938916 	8.78192895317099  	27.806363084591805	15    
F571-8     	0.14109565065529533	--                 	2.0914494878964387 	381.16785709681415	440.91738822072244	13    
F571-V1    	0.46342676980706177	--                 	0.916872784604873  	1.3235523555856585	2.125121030414739 	7     
F574-1     	0.706034705900575  	--                 	0.9670628337472725 	26.56323913843228 	28.917408266481743	14    
F583-1     	0.9776443280288504 	--                 	0.9278259129871931 	43.9037336660938  	52.46745694819353 	25    
F583-4     	0.465447642738836  	--                 	0.871025218481169  	1.2540896420273948	1.7635643914894592	12    
IC2574     	0.06857585717692173	--                 	0.8468308067005945 	45.64206819872229 	129.05101522542074	34    
IC4202     	0.9162922994633355 	0.5238579027978789 	0.86520882560806   	904.674076179868  	913.7731406057751 	32    
KK98-251   	0.4480350506540711 	--                 	0.4843367617310365 	13.294090629279445	16.475758978086798	15    
NGC0024    	1.0844180177316685 	--                 	1.0401936984639808 	19.719751584915958	31.688880726686993	29    
NGC0055    	0.19294658144517743	--                 	0.7822658437737854 	26.815895722620883	61.36030427117951 	21    
NGC0100    	0.3014848750301737 	--                 	1.1680343315748638 	19.88970609362596 	25.030439916239118	21    
NGC0247    	0.744703382436354  	--                 	0.8461844517331354 	75.81091193537185 	87.77642695075721 	26    
NGC0289    	0.9249108284589342 	--                 	0.6424321062127041 	51.42218696583984 	60.60369993742599 	28    
NGC0300    	0.5194318724082955 	--                 	1.087283793707012  	25.07687199232265 	28.40034149604233 	25    
NGC0801    	1.4679916505131017 	--                 	0.3847696799345241 	74.82262357224832 	134.55279950981833	13    
NGC0891    	0.3332494738103904 	0.4304771334955247 	1.1401297758996618 	99.1167075700518  	112.01456397167088	18    
NGC1003    	0.3766756762468653 	--                 	0.9472061859316667 	158.40084655962193	159.94477502396515	36    
NGC1090    	0.7895572539495453 	--                 	0.6290626596683597 	51.98148568592533 	58.11979445527327 	24    
NGC2403    	0.5203338092653595 	--                 	1.101502021662249  	937.8427209447643 	941.8913730948286 	73    
NGC2683    	0.5402536150094273 	0.6245623843198737 	0.9648417845791983 	22.459820426854264	23.098713692901104	11    
NGC2841    	0.8139723911406107 	0.9265148453377606 	1.1476959322320734 	69.19129515533535 	79.44392499059578 	50    
NGC2903    	0.2820343417314361 	--                 	1.4356931839013556 	266.1237018461804 	274.4164859425765 	34    
NGC2915    	1.13864585565288   	--                 	1.1669956629858964 	74.7132624992469  	98.98025381927306 	30    
NGC2955    	0.337572081326535  	0.8020588890706903 	0.9456101369823741 	80.09297637599187 	84.88773997070675 	24    
NGC2976    	0.37438218516641314	--                 	1.0040040562433874 	32.43756310502614 	34.022818652172965	27    
NGC2998    	0.8624290975870077 	--                 	0.6878429735687603 	36.4119169110647  	46.36063683026915 	13    
NGC3109    	0.24479382902912747	--                 	1.1448268434184805 	89.59292279324355 	106.78534513391043	25    
NGC3198    	0.7744552411185639 	--                 	0.736525965856186  	78.53080691964915 	88.8867417159574  	43    
NGC3521    	0.46480396096395743	--                 	1.1139549215500608 	19.35425330577129 	19.600286682838238	41    
NGC3726    	0.462429493497494  	--                 	0.7623664511887678 	26.522956654761927	29.565433112665026	12    
NGC3741    	0.33029734108421727	--                 	1.0715148638196663 	14.023321782315247	19.089155730034534	21    
NGC3769    	0.41501422509649577	--                 	0.8971297010629508 	8.333343106137345 	9.536524066859329 	12    
NGC3877    	0.4589762283859426 	--                 	0.8845082443785551 	87.45758098857421 	88.28727466362459 	13    
NGC3893    	0.46150084200739294	--                 	1.0806324890474452 	6.787807944493786 	7.2459374464316895	10    
NGC3917    	0.6006405835794285 	--                 	0.9129916112939389 	45.96572263003774 	46.9925025842206  	17    
NGC3949    	0.44358220123887876	--                 	0.9579239364218742 	2.1928522877462946	2.55498685581869  	7     
NGC3953    	0.5925686365681458 	--                 	0.8927934425745293 	17.456153032892125	18.596144380351713	8     
NGC3972    	0.5106428189400231 	--                 	1.0611644760643577 	12.21885655075803 	12.42116199044944 	10    
NGC3992    	0.7582111703749126 	--                 	0.8809034180080685 	21.955290716069143	26.730935030526847	9     
NGC4010    	0.3819261129278081 	--                 	1.0056017972402032 	23.200339813601694	24.570647813656997	12    
NGC4013    	0.3448139031944338 	0.7026159472964115 	1.0331927480447878 	57.36533343090245 	60.49710797616181 	36    
NGC4051    	0.4392448901921972 	--                 	0.8215269778131328 	10.431933821412734	12.399729363174087	7     
NGC4068    	0.2245344691585106 	--                 	0.8086521584334878 	16.07394833559635 	42.60913891488882 	6     
NGC4085    	0.3740544193201951 	--                 	0.9276665945061999 	26.012058300566455	27.871779003357336	7     
NGC4088    	0.39484652800989434	--                 	0.7411120211281857 	6.216292133434335 	10.742243338041646	12    
NGC4100    	0.7548873491635266 	--                 	0.8371771462610652 	35.03207570624524 	39.607376038684016	24    
NGC4138    	0.5617375802117583 	0.5988847470106641 	1.0092420624682354 	7.08637998309122  	7.346539718318252 	7     
NGC4157    	0.43190533139636356	0.567857016913186  	0.8697793704343558 	9.010083770473233 	10.350595558482848	17    
NGC4183    	0.8202767187238268 	--                 	0.7165245780822685 	23.357418567238017	32.14528000668775 	23    
NGC4217    	1.0019009104871788 	0.18294840095321913	1.0566260977930053 	37.30182457817486 	73.18697916171732 	19    
NGC4559    	0.5192888272346616 	--                 	0.7426706050284307 	14.076214906691535	14.83899908889303 	32    
NGC5005    	0.5309488950003362 	0.5293498940619934 	0.9958303127888929 	1.036581375471432 	1.402846780471521 	18    
NGC5033    	1.02835956290989   	0.4313692387191023 	0.80946379105971   	137.7880919605119 	150.05459438388993	22    
NGC5055    	0.5423773716301039 	--                 	0.7286130439396119 	192.48443674827854	272.81507687869896	28    
NGC5371    	3.485949761105652  	--                 	0.17910425380531517	168.81745248788928	250.73435239055453	19    
NGC5585    	0.2330366736232559 	--                 	1.1060366132497268 	142.292691505667  	153.40964383074345	24    
NGC5907    	1.110511216522898  	--                 	0.597457115143904  	133.9054593329181 	205.7884195037563 	19    
NGC5985    	0.5974395307089048 	3.4268086371907156 	1.2120397816651582 	205.9471080061916 	264.533350283537  	33    
NGC6015    	1.1472585896030263 	--                 	0.6890177372891753 	446.3694385051528 	460.45381607523507	44    
NGC6195    	0.28975268293094986	0.823330012495962  	0.8430235850667696 	41.14877858534087 	51.10791998745861 	23    
NGC6503    	0.45882576965068816	--                 	1.0309389291193454 	80.1155352275457  	80.6451634150711  	31    
NGC6674    	0.9944709666170611 	1.1598718165638067 	0.7567191189627158 	125.38099383400015	143.984184322528  	15    
NGC6789    	0.7892357124311855 	--                 	1.0479102283386401 	13.909691497683367	18.717273850895424	4     
NGC6946    	0.6305611153283663 	0.7130291537390587 	0.7506171108405642 	81.30703529427822 	83.57177107700112 	58    
NGC7331    	0.3253095670876662 	0.5353066229013426 	1.0700821798642612 	41.55995132406702 	45.761846829773475	36    
NGC7793    	0.4836593384870618 	--                 	0.9704033878825702 	36.701641665655856	37.07479844706642 	46    
NGC7814    	1.167736022816772  	0.507853864015408  	1.1010510530979551 	18.20857517223414 	37.163845693120486	18    
UGC00128   	2.5074509186284497 	--                 	0.5438901446899798 	121.35414041132537	179.58934309127648	22    
UGC00191   	1.144290295859199  	--                 	0.6745255515583854 	22.949271970123547	37.06898639385676 	9     
UGC00634   	0.494266513138553  	--                 	1.0294429232101592 	2.355566571820912 	2.3720357800872462	4     
UGC00731   	2.7004903289926547 	--                 	0.7474841992741621 	53.9544129266064  	108.31451856280093	12    
UGC00891   	0.3483582533152845 	--                 	0.8943101584676053 	47.81519868298583 	50.39927007495502 	5     
UGC01281   	0.4267695969337406 	--                 	0.9808050767751973 	32.9325544139801  	33.58322811873744 	25    
UGC02259   	1.1995628115262806 	--                 	0.9323080176384492 	38.53483519055011 	53.031431637905904	8     
UGC02487   	1.8466453012028257 	0.8288138998807539 	0.7167725255672596 	59.618614706238745	97.32427086711994 	17    
UGC02885   	0.44972611558447956	0.977137415816934  	1.040655151970723  	13.056154616842168	17.919350336526804	19    
UGC02916   	1.2931191042662602 	0.6725887244632448 	0.7584477428281141 	460.68279987443765	480.5568472628713 	43    
UGC02953   	0.6121859309130685 	0.6305869387604575 	1.1102299754341625 	636.8606379122979 	637.8151495223333 	115   
UGC03205   	0.6811008184403384 	1.43372062189271   	0.852906854008459  	172.54910187890812	189.20418090863   	48    
UGC03546   	0.6687568968186113 	0.4993740366199767 	0.8711080501376837 	23.053108031485408	25.54781298860948 	30    
UGC03580   	0.2917260730352408 	0.11221116185862352	1.0928993123525483 	101.63827831106701	160.2655661454316 	47    
UGC04278   	0.5645741411784251 	--                 	1.0987181941326618 	57.63358108156458 	58.02035664117896 	25    
