# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# MOND individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: stellar disk mass-to-light ratio (YD).
# 3rd column: stellar bulge mass-to-light ratio (YB).
# 4th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 5th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 6th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	YD                  	YB                 	Chi2              	Chi2eff           	N.Data
CamB       	0.058451148547583216	--                 	405.0999422716924 	491.9953298145644 	9     
D512-2     	0.35126889449838333 	--                 	3.0044161499736006	5.355434559023636 	4     
D564-8     	0.19818646567118756 	--                 	53.34231615188526 	69.49435656009041 	6     
D631-7     	0.11323930252404743 	--                 	272.2679602507379 	313.86695392260174	16    
DDO064     	0.4364077148144917  	--                 	4.557493268343658 	4.906509372047281 	14    
DDO154     	0.06604100814163481 	--                 	315.4676178339744 	392.7591995789036 	12    
DDO161     	0.05                	--                 	3266.292883349146 	3366.2928833491455	31    
DDO168     	0.16638735650313213 	--                 	201.85030067317584	224.68433257384862	10    
DDO170     	0.07367612715404946 	--                 	733.267491773657  	802.4305355777235 	8     
ESO079-G014	0.6017483486586597  	--                 	45.18693434767691 	45.83407258640413 	15    
ESO116-G012	0.7530455366594171  	--                 	64.45394108253734 	67.6170472418502  	15    
ESO444-G084	2.2396054811088244  	--                 	66.1582247526742  	108.56456637397962	7     
ESO563-G021	0.8334349540757826  	--                 	486.33449712270556	491.25853385217437	30    
F565-V2    	0.6285633106365565  	--                 	5.597025897818923 	6.584644923662772 	7     
F568-3     	0.4210991945049998  	--                 	45.9050960122778  	46.46139709029637 	18    
F568-V1    	1.6154468619055204  	--                 	8.8645099909438   	34.80546848167253 	15    
F571-8     	0.4832749748552362  	--                 	526.7106710662908 	526.7325031897494 	13    
F571-V1    	0.40512385902514636 	--                 	3.176367247080522 	4.0114375918119975	7     
F574-1     	0.6618142246485444  	--                 	27.675232105275533	29.15793024718916 	14    
F583-1     	0.8530307862038212  	--                 	48.286605161396295	53.66875928905067 	25    
F583-4     	0.3630762438038356  	--                 	1.6990024160062784	3.630328833967795 	12    
IC2574     	0.05                	--                 	333.45578958335057	433.45578958335057	34    
IC4202     	0.72647241681261    	0.44551111265397253	914.063389497101  	918.3675278145713 	32    
KK98-251   	0.14298732161450242 	--                 	321.2774234512903 	350.8353992566794 	15    
NGC0024    	1.1631212038908967  	--                 	19.114872422877415	32.55845903179456 	29    
NGC0055    	0.05914557780538094 	--                 	150.74365547810208	236.6854040087137 	21    
NGC0100    	0.40982667017103225 	--                 	26.815705786874886	27.56167979571209 	21    
NGC0247    	0.5354209124216994  	--                 	104.01592774249804	104.10428723999237	26    
NGC0289    	0.35198692117253055 	--                 	212.91120197602748	215.23510336532874	28    
NGC0300    	0.6267590676302214  	--                 	32.92183324615051 	33.88479513356243 	25    
NGC0801    	0.3069397856316371  	--                 	454.51767777558837	459.0085515875033 	13    
NGC0891    	0.4162077478579445  	0.45982295874332246	124.22119133923168	126.19118561051306	18    
NGC1003    	0.3108618286235279  	--                 	164.21286385011638	168.4730674656936 	36    
NGC1090    	0.3089089640386823  	--                 	174.45836588806128	178.83229865501175	24    
NGC2403    	0.6405106699589115  	--                 	1192.2376448759708	1193.3944820305812	73    
NGC2683    	0.5098035781407255  	0.6235490873333944 	23.625929881666156	23.66099504503581 	11    
NGC2841    	1.1053984359802929  	0.9504539682649923 	91.0038012737118  	106.86639004892268	50    
NGC2903    	0.500367676413694   	--                 	428.52112413772807	428.5211343292933 	34    
NGC2915    	1.5840542463443723  	--                 	89.78809544506612 	114.86816402219368	30    
NGC2955    	0.3048731576285538  	0.7565030966053913 	79.97858472174678 	85.60790469538553 	24    
NGC2976    	0.37711357167442305 	--                 	32.529471980255025	34.030044112936764	27    
NGC2998    	0.40819552835650613 	--                 	88.5848715616691  	89.36106359923198 	13    
NGC3109    	0.4436477669587257  	--                 	132.92855918377967	133.19824937636668	25    
NGC3198    	0.4478336831162645  	--                 	416.38694733055183	416.6159406752867 	43    
NGC3521    	0.5313307553219498  	--                 	21.080123073368433	21.149792416232387	41    
NGC3726    	0.2863688679783524  	--                 	35.80231931375471 	41.66085886630378 	12    
NGC3741    	0.39536130659186824 	--                 	25.015993596608645	26.055900811725934	21    
NGC3769    	0.33349724272422104 	--                 	8.632482713447914 	11.725781244050875	12    
NGC3877    	0.37998718885608523 	--                 	88.26109717772151 	89.68198619955527 	13    
NGC3893    	0.518983563448654   	--                 	8.065926648991201 	8.09211753774416  	10    
NGC3917    	0.5103170808321231  	--                 	48.111562751729004	48.119430620048675	17    
NGC3949    	0.4184612608619447  	--                 	2.1211058867606525	2.718862866938885 	7     
NGC3953    	0.5041966678568676  	--                 	19.723970525345376	19.725288191272387	8     
NGC3972    	0.5652630124766225  	--                 	12.559352197617834	12.843234051354948	10    
NGC3992    	0.6157504432634883  	--                 	28.779645229137333	29.597489246686724	9     
NGC4010    	0.38608744303913617 	--                 	23.314158106965877	24.574935122923115	12    
NGC4013    	0.36535087785325393 	0.7378704273610122 	58.20718653270063 	60.87078349164176 	36    
NGC4051    	0.32646869450622246 	--                 	12.36231398017414 	15.789568716000069	7     
NGC4068    	0.16103211140122675 	--                 	40.35658119090749 	64.56864119829979 	6     
NGC4085    	0.3344760822596253  	--                 	25.340874570219565	28.389562961652544	7     
NGC4088    	0.23516204822029035 	--                 	12.148737335045215	22.881094837584172	12    
NGC4100    	0.5690901125437875  	--                 	44.25362143423898 	44.56958948927042 	24    
NGC4138    	0.5697724533863807  	0.6008050572732897 	7.033989825954464 	7.355869414762658 	7     
