# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# NFW individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: scale radius (r_s) [kpc].
# 3rd column: normalized scale radius (rsn = rs / rmax).
# 4th column: logarithm of the density rho_s (log rhos) [Msun / kpc^3].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rs                 	rsn                 	log rhos          	YD                 	YB                 	Chi2               	Chi2eff             	N.Data
CamB       	9980.132254372043  	5575.492879537454   	2.227434218190794 	0.35528517000095633	--                 	36.533855806689665 	38.735901808011484  	9     
D512-2     	8.439455208335607  	2.203513109226007   	6.3721332122169985	0.503970292921005  	--                 	0.6243629763112234 	0.6255428527151564  	4     
D564-8     	9997.013392178362  	3256.356153804027   	2.8202133369423494	0.48329224505092083	--                 	3.5753178330495032 	3.597104118118917   	6     
D631-7     	9997.215561698047  	1390.4333187340817  	3.199156424680552 	0.29936047572538266	--                 	70.2279019310703   	75.19079623264592   	16    
DDO064     	10000.             	3355.7046979865772  	3.400090497012418 	0.498205604033923  	--                 	6.593550416132292  	6.593794211871151   	14    
DDO154     	15.422834969428294 	2.605208609700725   	6.1687630638842235	0.2783520752967612 	--                 	99.14642366088833  	105.6171152331379   	12    
DDO161     	55.27512345850712  	4.13426503055401    	5.398817770427087 	0.34940765592798295	--                 	27.013197766123938 	29.435503636252278  	31    
DDO168     	9998.58563274174   	2426.8411729955683  	3.360308207064214 	0.40757991706092017	--                 	83.40024657550433  	84.18803112305847   	10    
DDO170     	13.284201280822087 	1.0773885872523994  	6.228040236424268 	0.49257839156769145	--                 	12.96080470379918  	12.965022749126469  	8     
ESO079-G014	94.77934684397549  	5.685623685901349   	5.793078212000025 	0.6304841075011359 	--                 	47.12561200858134  	48.13974438040082   	15    
ESO116-G012	22.463919526422917 	2.278287984424231   	6.4900499081918825	0.46971338442737437	--                 	30.219265751783027 	30.292907802124002  	15    
ESO444-G084	12.682187283177438 	2.8563484872021254  	6.637284479774079 	0.49498785777155074	--                 	3.345170788156857  	3.3470852520142396  	7     
ESO563-G021	9999.99881077912   	235.7934169011818   	3.746039845304145 	0.9474254021784765 	--                 	474.8956322793888  	482.6004214759455   	30    
F565-V2    	3896.759000479238  	442.81352278173154  	3.8325293879141933	0.4996615982088628 	--                 	1.8697958555259324 	1.8698045009825333  	7     
F568-3     	9999.999890631736  	556.1735200573823   	3.399756146710584 	0.5451009642706319 	--                 	50.72116740711519  	50.861844506557     	18    
F568-V1    	8.017575192979928  	0.4547688708440118  	7.235533722393972 	0.5044357786527954 	--                 	2.82098885642251   	2.8224602526741367  	15    
F571-8     	78.71497173193339  	5.0620560599314075  	5.967053913607716 	0.15544474097159278	--                 	47.29713193220378  	73.04199609469791   	13    
F571-V1    	26.168817373053503 	1.9255936256845845  	6.060628873337678 	0.5002789010784771 	--                 	1.5938488907812804 	1.593854756035047   	7     
F574-1     	16.037667886937697 	1.272830784677595   	6.54777960435678  	0.5221653305772203 	--                 	19.65457663053754  	19.690063763871628  	14    
F583-1     	29.99360312260584  	1.844625038290642   	6.022353596750652 	0.5104299644309894 	--                 	35.94154277528923  	35.94958197256153   	25    
F583-4     	27.78264269376615  	3.811062097910309   	5.9711470797214545	0.5074846929584053 	--                 	1.5088176326376788 	1.5129816799865963  	12    
IC2574     	9999.89919830417   	977.5072530111603   	2.990266822332864 	0.2872732094399508 	--                 	1046.1863598804002 	1051.978799567711   	34    
IC4202     	10.759702964092531 	0.4154325468761595  	7.485270127110441 	0.5243850491773647 	0.10327058474016963	546.2031804297507  	604.6422320087158   	32    
KK98-251   	10000.             	3194.888178913738   	2.9238498917803426	0.5147366979194147 	--                 	23.480607303822563 	23.496521448879786  	15    
NGC0024    	4.741432206927845  	0.4207127069146269  	7.569357813304658 	0.6603540533222956 	--                 	22.37717456515169  	23.836603911065346  	29    
NGC0055    	95.96039946661894  	7.108177738268069   	5.36758544381849  	0.31938983077497735	--                 	46.047708165141586 	49.83652837278861   	21    
NGC0100    	5412.657626588966  	562.646322930246    	3.7348575060155644	0.507540304673432  	--                 	14.332256489871314 	14.336482181124872  	21    
NGC0247    	23.030856876669056 	1.5839653972949834  	6.246197439636667 	0.6271779281634929 	--                 	42.491657714019226 	43.460322349067454  	26    
NGC0289    	24.94036230540348  	0.35068000991849657 	6.476903444420495 	0.5990569659238936 	--                 	48.080737330702426 	48.69693278737821   	28    
NGC0300    	20.38560128333658  	1.7275933290963204  	6.382283216994863 	0.5053562467250216 	--                 	14.883150699206615 	14.885292198907973  	25    
NGC0801    	310.0643687157579  	5.183289346635873   	4.834549981461161 	0.6318207847961197 	--                 	54.09050569103771  	55.12324748371373   	13    
NGC0891    	8.14141240383791   	0.47582772670005313 	7.657610573470805 	0.20055798061202992	0.48010186278840483	42.099774683024535 	58.77661822201159   	18    
NGC1003    	40.04578632330572  	1.324265420744237   	5.868277126868703 	0.673468398241482  	--                 	76.43954350985015  	78.11261377511543   	36    
NGC1090    	17.718648926922043 	0.5888550657003006  	6.700946646088917 	0.46642335746440017	--                 	52.818782180842454 	52.909924061084986  	24    
NGC2403    	7.490976163856734  	0.3589351300362594  	7.329271497184696 	0.31425019896007705	--                 	640.3747550953835  	644.4428199296831   	73    
NGC2683    	6.1963539048015965 	0.1789819152166839  	7.659355634968669 	0.4862459257559163 	0.5801025170885793 	7.309506439063188  	7.345633406419042   	11    
NGC2841    	51.14893623724645  	0.8037230709812453  	6.320954531429717 	1.0847351909882874 	0.9301836922015132 	63.90866523156715  	78.84792941505879   	50    
NGC2903    	5.371931531258911  	0.21522161583569352 	7.940289184033139 	0.25213317455984774	--                 	186.0198529982696  	194.86096129370023  	34    
NGC2915    	5.1817649172620746 	0.5161120435519995  	7.328733087100791 	0.3994850196999675 	--                 	24.61191540315856  	25.561945863180238  	30    
NGC2955    	23.899521306562352 	0.674556062843984   	6.810852366078835 	0.2797685953475289 	0.7009461757366111 	75.01560317700111  	81.83070290314618   	24    
NGC2976    	0.05               	0.022026431718061675	1.                	0.9240076635373595 	--                 	20.221582748881914 	27.334768794539244  	27    
NGC2998    	12.214794095110454 	0.2889024147377118  	7.266354418640012 	0.3812384309765213 	--                 	24.819069607162113 	26.206125352837688  	13    
NGC3109    	9998.881048341424  	1550.2141160219262  	3.307424282464861 	0.41813028327743007	--                 	193.13032214097296 	193.73340456532694  	25    
NGC3198    	14.733426965455466 	0.33424289849036903 	6.849703535954802 	0.45707776005283807	--                 	55.49152180746633  	55.64346517637232   	43    
NGC3521    	9997.62374607565   	563.5639090234301   	3.8091104906183912	0.5465591776438232 	--                 	8.933834310748452  	9.08334944498817    	41    
NGC3726    	9999.999996003251  	307.503074907849    	3.3734867338664434	0.5471989228054929 	--                 	18.838145742374348 	18.991615602555054  	12    
NGC3741    	25.01703278001248  	3.573861825716069   	5.885397462707998 	0.49353515333792874	--                 	6.530678193610967  	6.5338726050601075  	21    
NGC3769    	12.472875823081171 	0.33565327833910585 	6.820643174506822 	0.3840007187603884 	--                 	6.818802537015882  	8.13298888638869    	12    
NGC3877    	8.304979798271898  	0.7317162817860703  	7.359816902006677 	0.31196823619008485	--                 	49.38984875613903  	53.58659542633602   	13    
NGC3893    	10.210410412411116 	0.5359795492079326  	7.302939400068383 	0.398231386215151  	--                 	5.373683154711788  	6.35050936541652    	10    
NGC3917    	404.82854181193613 	27.242835922741328  	4.803266133446465 	0.986268497182567  	--                 	40.56783404342826  	49.27181837126087   	17    
NGC3949    	9999.931381099692  	1414.4174513578064  	3.8428745300800315	0.44690298249914806	--                 	1.5376970415525826 	1.7754191214052089  	7     
NGC3953    	7.089947017646851  	0.45216498837033486 	7.5719360903914605	0.48169595907957924	--                 	1.5454526675156295 	1.5716869525568362  	8     
NGC3972    	51.48345182714868  	5.904065576507875   	6.131142110443682 	0.47195351621233783	--                 	9.026198805271012  	9.08905319751875    	10    
NGC3992    	11.317525245272373 	0.24592623305676603 	7.472310824138718 	0.4903761840221819 	--                 	2.8890900787917073 	2.8962145100119034  	9     
NGC4010    	1030.637606634382  	98.43721171293048   	4.612438861573827 	0.4474419394964479 	--                 	21.643993934787616 	21.87663920724519   	12    
NGC4013    	229.48260757547828 	7.400277574185046   	5.185624389497458 	0.5906012387943396 	0.6996230794111562 	24.80295503328342  	25.77109698247881   	36    
NGC4051    	6.526541028816184  	0.535401232880737   	7.249608804042693 	0.4570463857140945 	--                 	3.573467872541493  	3.7256437401960767  	7     
NGC4068    	9993.14965460927   	4288.905431162777   	3.08803554734674  	0.472274068722761  	--                 	7.278530395072139  	7.33991493710618    	6     
NGC4085    	9999.241038666481  	1612.780812688142   	3.8333454838706715	0.3271250612602666 	--                 	20.48676007366133  	23.88179433164432   	7     
NGC4088    	10000.             	465.54934823091247  	3.4654977475179463	0.39071762094721596	--                 	4.150544061149491  	5.297735144270647   	12    
NGC4100    	7.184458469865763  	0.315661619941378   	7.532689206642163 	0.5049584307048011 	--                 	18.867752018273297 	18.86958867487016   	24    
NGC4138    	3.563148799315701  	0.1917733476488537  	8.046428723261734 	0.4948948822960175 	0.5731344531796942 	4.276780556741644  	4.318347123290688   	7     
NGC4157    	175.88840683111113 	5.940169092573831   	5.353548318674157 	0.48849364580444604	0.5543917951102119 	5.03692129706207   	5.165030190215202   	17    
NGC4183    	8.502149391164865  	0.40447903859014583 	7.025209295213985 	0.5113707103286709 	--                 	3.535430145629207  	3.5449673186302437  	23    
NGC4217    	31.708458750649356 	1.8964389204933827  	6.508300439098133 	0.8498955653173291 	0.203682066963     	42.66760329014565  	69.99053383135784   	19    
NGC4559    	16.44297273128424  	0.784118871305877   	6.578919298958534 	0.39431543685096465	--                 	8.274184648881707  	9.337686476333356   	32    
NGC5005    	4749.551691886851  	414.08471594479954  	4.3106032567502215	0.5038898561904135 	0.5222537427221854 	0.9759660155698847 	1.3403422950398696  	18    
NGC5033    	8.544816688311311  	0.19163078466721933 	7.624039287376095 	0.33768106912546414	0.3981657130691548 	52.827239529245574 	58.90452474736323   	22    
NGC5055    	12.520158662038734 	0.22934894050263296 	7.161997549326606 	0.3011958837303661 	--                 	64.04631243858074  	68.89163667078944   	28    
NGC5371    	5.921812621332775  	0.1280668819492382  	7.927056950694677 	0.26388077601549553	--                 	69.87982766227384  	77.58390802253149   	19    
NGC5585    	22.891399605309736 	2.0886313508494285  	6.282400040854753 	0.29310681760111823	--                 	127.67104456702829 	133.05085038584596  	24    
NGC5907    	7.774611644879     	0.1544727129918339  	7.757909754410549 	0.2663083807593066 	--                 	74.00528821290554  	81.49017275799814   	19    
NGC5985    	8.149172216799723  	0.23471118135943903 	7.962153423592786 	0.2999490837728681 	0.5444808555660462 	63.74154340517344  	68.84432082520988   	33    
NGC6015    	7.5893617228267125 	0.25964289164648346 	7.42348027019041  	0.48305939767772277	--                 	347.696578479913   	347.7189869796107   	44    
NGC6195    	648.3894345847643  	17.79822768555488   	4.763819370796669 	0.40127778871036784	0.7206148961955463 	35.38389777657652  	36.929249930971125  	23    
NGC6503    	7.799532750026533  	0.3318950106394269  	7.198626799748526 	0.3974381720155387 	--                 	40.36197894385212  	41.355996471670245  	31    
NGC6674    	9999.999399364935  	138.1024637393307   	3.3428806966760214	1.2750467427494754 	0.7068387857721072 	18.247855046975626 	35.28314582785592   	15    
NGC6789    	5942.048026199292  	8369.081727041257   	4.280304844573811 	0.49848724476395506	--                 	4.058715959736798  	4.058889133289016   	4     
NGC6946    	16.132694815119567 	0.790818373290175   	6.805550760977908 	0.4504061621488027 	0.4978664456526555 	86.6901495542433   	87.55267616635025   	58    
