# Additional velocity distribution: a fast sample analysis for dark matter or modified gravity models
# by A. Hernandez-Arboleda, D. C. Rodrigues, A. Wojnar
# 
# The complete Table B1 data: the best fit results of an exponential model for the stellar component of 122 SPARC galaxies.
# 1st column: galaxy name.
# 2nd column: reference luminosity value from SPARC L (10^9 Msun), not fitted.
# 3rd column: reference HI mass value from SPARC MassHI (10^9 Msun), not fitted.
# 4th column: best-fit disk scale length h (kpc).
# 5th column: best-fit central surface density logSigma0 for Upsilon = 1 (log_10 Msun/kpc^3).
# 6th column: normalized disk scale length hn.
# 7th column: the minimum chi-squared value Chi2.
# 8th column: the number of galaxy data points that were used for the fit dataPoints.
# 
# Name       	L      	MassHI	h                  	logSigma0         	hn                  	Chi2                	dataPoints
CamB       	0.075  	0.012 	0.7509276995257536 	7.49613946375156  	0.41951268129930364 	0.9290917105563835  	9         
D512-2     	0.325  	0.081 	1.2919696200079032 	7.510739674695915 	0.3373288825085909  	0.42484504203784745 	4         
D564-8     	0.033  	0.029 	0.7182892161285231 	7.032442944684357 	0.23397042870635937 	0.013124928088276552	6         
D631-7     	0.196  	0.29  	0.8483291838606761 	7.630259471203956 	0.11798736910440558 	3.3689850966495047  	16        
DDO064     	0.157  	0.211 	1.0500488307515257 	7.512599919924921 	0.3523653794468207  	2.236563623146637   	14        
DDO154     	0.053  	0.275 	0.4304051056667008 	7.64626836054603  	0.07270356514640217 	0.07915895862828093 	12        
DDO161     	0.548  	1.378 	1.4413535160830615 	7.615562525355205 	0.10780504981922674 	1.7424321987299676  	31        
DDO168     	0.191  	0.413 	1.2108847865441545 	7.378948356435107 	0.293904074403921   	0.23135156447084532 	10        
DDO170     	0.543  	0.735 	2.0270630240559555 	7.3090250924873885	0.1644008940840191  	0.7777971164994675  	8         
ESO079-G014	51.733 	3.14  	4.926035784921463  	8.457436910517679 	0.2955030464859905  	29.31462593667347   	15        
ESO116-G012	4.292  	1.083 	1.6895556855487543 	8.37742158602462  	0.17135453200291628 	2.251278125842969   	15        
ESO444-G084	0.071  	0.135 	0.5200297783139919 	7.606056310137011 	0.11712382394459275 	0.1581265059242499  	7         
ESO563-G021	311.177	24.298	6.759412122616764  	9.034665828233823 	0.15938250701760823 	36.82827916637659   	30        
F565-V2    	0.559  	0.699 	2.689286726097817  	7.157924731610159 	0.3056007643292974  	0.8898800935463212  	7         
F568-3     	8.346  	3.195 	4.407795312296275  	7.790741728469687 	0.2451499061343868  	0.767029147496946   	18        
F568-V1    	3.825  	2.491 	2.7345866336186835 	7.884475367191458 	0.15510984875885897 	3.2727680425989307  	15        
F571-8     	10.164 	1.782 	1.0723516934590918 	9.07822515320176  	0.06896152369511843 	2.7541116206770653  	13        
F571-V1    	1.849  	1.217 	2.728413732464736  	7.610764176934564 	0.2007662790628945  	1.1348807306762885  	7         
F574-1     	6.537  	3.524 	3.243289162858843  	7.897423614544237 	0.25740390181419387 	6.164400475483815   	14        
F583-1     	0.986  	2.126 	2.4380324754385896 	7.407295967035616 	0.14994049664443967 	6.627352469756885   	25        
F583-4     	1.715  	0.641 	2.26100090571026   	7.81379194299719  	0.31015101587246363 	1.1032391388157015  	12        
IC2574     	1.016  	1.036 	3.6697049148276863 	7.239403716873039 	0.35871993302323424 	6.509275883036182   	34        
KK98-251   	0.085  	0.115 	1.9616301819463366 	6.941996461811354 	0.6267189079700756  	0.4409325642528291  	15        
NGC0024    	3.889  	0.676 	1.3913549675191301 	8.513540879406357 	0.12345651885706567 	4.027589500949601   	29        
NGC0055    	4.628  	1.565 	3.261763948156763  	7.769088814409937 	0.24161214430790837 	20.772946976146464  	21        
NGC0100    	3.232  	1.99  	1.8972080942640825 	8.143330638449411 	0.19721497861373    	2.440777889652772   	21        
NGC0247    	7.332  	1.746 	4.058258499668156  	7.852148444345313 	0.2791099380789654  	0.7899267052357793  	26        
NGC0289    	72.065 	27.469	2.127331770290717  	9.388554489735762 	0.029911864036708615	4.4987702405934105  	28        
NGC0300    	2.922  	0.936 	1.8467995020682235 	8.12781299198674  	0.156508432378663   	0.33455179049351425 	25        
NGC0801    	312.57 	23.201	3.5241761032191525 	9.541748279766841 	0.05891300740921352 	18.893698536873416  	13        
NGC1003    	6.82   	5.88  	1.8443918095002079 	8.496810650950724 	0.06099179264220265 	1.0046257563662855  	36        
NGC1090    	72.045 	8.783 	3.313445216752035  	9.00040946967923  	0.11011782043044317 	18.826528660450403  	24        
NGC2403    	10.041 	3.199 	1.3895066720506184 	8.900868614084002 	0.06657914097032192 	11.974590401597492  	73        
NGC2903    	81.863 	2.552 	1.485525526800021  	9.749870540029589 	0.05951624706730853 	38.53349966575488   	34        
NGC2915    	0.641  	0.508 	0.398022934900803  	8.79919584445397  	0.03964371861561783 	3.9636085739983367  	30        
NGC2976    	3.371  	0.172 	2.4202499429807687 	8.60713926268462  	1.0661894021941711  	11.790178566061508  	27        
NGC2998    	150.902	23.451	4.057401462635303  	9.134972966247517 	0.09596502986365428 	6.1811221286006734  	13        
NGC3109    	0.194  	0.477 	1.8241825321954444 	7.039360079763028 	0.2828189972396038  	1.6004983946031017  	25        
NGC3198    	38.279 	10.869	3.3261039223666105 	8.720041952241848 	0.07545607809361639 	87.53397710242979   	43        
NGC3521    	84.836 	4.154 	1.3475697854085498 	9.794420258447902 	0.0759622201470434  	19.92197444819933   	41        
NGC3726    	70.234 	6.473 	3.7884692366082007 	8.888030844040268 	0.11649659399164207 	0.4613951163835554  	12        
NGC3741    	0.028  	0.182 	0.23493156390786865	7.887645485334251 	0.03356165198683838 	0.05560514421662669 	21        
NGC3769    	18.679 	5.529 	1.528793089344284  	9.082035267848267 	0.04114082587040593 	0.8737358118880842  	12        
NGC3877    	72.535 	1.483 	3.9996052904300097 	8.93613070272516  	0.35238813131541935 	22.255283423570706  	13        
NGC3893    	58.525 	5.799 	1.8346463883055648 	9.418981118588242 	0.09630689702391416 	2.3155059651711047  	10        
NGC3917    	21.966 	1.888 	4.468414706485985  	8.353658523384237 	0.3007008550798106  	7.172391346943671   	17        
NGC3949    	38.067 	3.371 	1.5991585138754294 	9.330192919149432 	0.22618932303754305 	0.4690548666396363  	7         
NGC3953    	141.301	2.832 	4.177370300019064  	9.140356555690746 	0.26641392219509336 	0.7510174573460685  	8         
NGC3972    	14.353 	1.214 	2.949288768339556  	8.493098073891948 	0.3382211890297656  	4.500825316943456   	10        
NGC3992    	226.932	16.599	6.466877817510888  	8.931840456998254 	0.1405232033357429  	0.7603432591054783  	9         
NGC4010    	17.193 	2.832 	3.3463230474248915 	8.448315383424351 	0.3196106062487957  	5.195850440046458   	12        
NGC4051    	95.268 	2.697 	3.266547875751108  	8.987529715544834 	0.2679694729902468  	17.28731812705908   	7         
NGC4068    	0.236  	0.154 	0.9467068076598887 	7.750279839240418 	0.406311934617978   	0.6678625219124854  	6         
NGC4085    	21.724 	1.349 	1.7166844558584557 	9.114817472609934 	0.2768845896545896  	0.47942033422963326 	7         
NGC4088    	107.286	8.226 	3.3496212025474437 	9.186994039276227 	0.15594139676664076 	4.2865041165340365  	12        
NGC4100    	59.394 	3.102 	3.2142364427758165 	8.959098761768534 	0.14122304230122215 	10.519530764629515  	24        
NGC4183    	10.838 	3.506 	3.1278186429316706 	8.240183120683806 	0.14880202868371412 	10.403537277959693  	23        
NGC4559    	19.377 	5.811 	2.305685521167437  	8.754458877250801 	0.10995162237326835 	4.691185204737222   	32        
NGC5055    	152.922	11.722	2.393082524678663  	9.590075952664973 	0.04383737909284966 	25.39341935334536   	28        
NGC5371    	340.393	11.18 	5.625784448150624  	9.215665078445365 	0.1216648885845723  	38.93747037116481   	19        
NGC5585    	2.943  	1.683 	1.1993431781308181 	8.485622113657376 	0.10942912209222794 	20.6424028253136    	24        
