"# rn","1σLower","1σUpper","2σLower","2σUpper"
0.025,-0.070,0.391,-0.334,0.829
0.050,-0.082,0.463,-0.349,0.880
0.075,-0.080,0.616,-0.352,0.923
0.100,-0.066,0.689,-0.341,0.958
0.125,-0.044,0.727,-0.315,0.988
0.150,-0.015,0.752,-0.269,1.018
0.175,0.020,0.770,-0.210,1.054
0.200,0.061,0.783,-0.148,1.094
0.225,0.115,0.796,-0.096,1.130
0.250,0.196,0.810,-0.058,1.157
0.275,0.289,0.829,-0.026,1.175
0.300,0.362,0.852,0.004,1.187
0.325,0.414,0.878,0.034,1.196
0.350,0.458,0.903,0.065,1.202
0.375,0.498,0.923,0.094,1.207
0.400,0.529,0.939,0.122,1.211
0.425,0.551,0.952,0.145,1.214
0.450,0.567,0.964,0.167,1.217
0.475,0.582,0.976,0.190,1.220
0.500,0.598,0.989,0.221,1.223
0.525,0.618,1.005,0.266,1.226
0.550,0.641,1.019,0.320,1.230
0.575,0.663,1.034,0.362,1.235
0.600,0.681,1.046,0.391,1.240
0.625,0.697,1.057,0.414,1.244
0.650,0.710,1.066,0.435,1.247
0.675,0.722,1.074,0.457,1.248
0.700,0.733,1.080,0.479,1.249
0.725,0.745,1.086,0.502,1.249
0.750,0.756,1.092,0.527,1.248
0.775,0.768,1.098,0.555,1.247
0.800,0.780,1.103,0.586,1.246
0.825,0.791,1.109,0.618,1.244
0.850,0.803,1.114,0.649,1.242
0.875,0.815,1.119,0.675,1.239
0.900,0.827,1.122,0.698,1.234
0.925,0.839,1.123,0.720,1.229
0.950,0.851,1.122,0.740,1.222
0.975,0.864,1.119,0.760,1.213
1.000,0.877,1.111,0.779,1.204
