"# rn","1σLower","1σUpper","2σLower","2σUpper"
0.025,-0.072,0.281,-0.208,0.674
0.050,-0.080,0.348,-0.212,0.750
0.075,-0.079,0.393,-0.212,0.812
0.100,-0.070,0.432,-0.205,0.872
0.125,-0.055,0.475,-0.193,0.923
0.150,-0.035,0.532,-0.177,0.963
0.175,-0.009,0.608,-0.158,0.997
0.200,0.022,0.672,-0.136,1.028
0.225,0.059,0.721,-0.111,1.054
0.250,0.105,0.764,-0.084,1.079
0.275,0.163,0.802,-0.055,1.099
0.300,0.225,0.835,-0.026,1.117
0.325,0.286,0.868,0.003,1.133
0.350,0.350,0.898,0.031,1.148
0.375,0.439,0.924,0.059,1.164
0.400,0.530,0.946,0.086,1.181
0.425,0.570,0.964,0.110,1.197
0.450,0.593,0.979,0.131,1.213
0.475,0.608,0.994,0.152,1.227
0.500,0.622,1.007,0.175,1.236
0.525,0.635,1.020,0.207,1.244
0.550,0.648,1.034,0.254,1.249
0.575,0.663,1.047,0.309,1.254
0.600,0.678,1.060,0.352,1.258
0.625,0.691,1.072,0.383,1.261
0.650,0.705,1.083,0.410,1.263
0.675,0.717,1.093,0.433,1.265
0.700,0.728,1.102,0.457,1.266
0.725,0.740,1.110,0.478,1.267
0.750,0.751,1.116,0.499,1.267
0.775,0.762,1.122,0.522,1.266
0.800,0.773,1.128,0.549,1.264
0.825,0.784,1.132,0.581,1.262
0.850,0.795,1.135,0.615,1.258
0.875,0.806,1.139,0.648,1.254
0.900,0.818,1.140,0.675,1.249
0.925,0.829,1.141,0.700,1.243
0.950,0.841,1.139,0.723,1.236
0.975,0.853,1.134,0.745,1.228
1.000,0.867,1.126,0.765,1.219
